,,,,,,,Playing Time,,,,,,Starts,,Subs,,,Team Success,,,,,,
647,David Silva\David-Silva,es ESP,MF,eng Manchester City,31,1986,7,426,61,47.3,4.7,5,,1,2,,1,2.14,9,5,+4,+0.85,+0.09,Matches
648,Jonathan Silva\Jonathan-Silva,ar ARG,DF,pt Sporting CP,23,1994,4,209,52,38.7,2.3,2,,2,2,,0,1.00,4,4,0,0.00,+0.27,Matches
649,Rafa Silva\Rafa-Silva,pt POR,FWMF,pt Benfica,24,1993,1,1,1,0.2,0.0,0,,0,1,,2,0.00,0,0,0,0.00,+2.17,Matches
650,Thiago Silva\Thiago-Silva,br BRA,DF,fr Paris S-G,32,1984,6,522,87,72.5,5.8,6,,5,0,,1,2.00,22,6,+16,+2.76,+1.85,Matches
651,Jozo Šimunović\Jozo-Simunovic,hr CRO,DF,sco Celtic,22,1994,4,360,90,66.7,4.0,4,,4,0,,0,1.78,4,13,-9,-2.25,-0.25,Matches
652,Scott Sinclair\Scott-Sinclair,eng ENG,MFFW,sco Celtic,28,1989,5,380,76,70.4,4.2,5,,3,0,,1,1.45,3,9,-6,-1.42,+2.52,Matches
653,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,eng Tottenham,27,1989,6,341,57,47.4,3.8,3,,1,3,,2,2.67,10,2,+8,+2.11,+1.64,Matches
654,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,it Roma,26,1991,0,,,,,0,,0,0,,12,,,,,,,Matches
655,Chris Smalling\Chris-Smalling,eng ENG,DF,eng Manchester Utd,27,1989,8,720,90,100.0,8.0,8,,8,0,,0,2.00,13,5,+8,+1.00,,Matches
656,Tiquinho Soares\Tiquinho-Soares,br BRA,FW,pt Porto,26,1991,3,180,60,25.0,2.0,2,,1,1,,1,1.00,2,8,-6,-3.00,-4.00,Matches
657,Dominic Solanke\Dominic-Solanke,eng ENG,FW,eng Liverpool,19,1997,3,36,12,3.1,0.4,0,,0,3,,6,2.25,2,1,+1,+2.50,+0.60,Matches
658,David Soria\David-Soria,es ESP,GK,es Sevilla,24,1993,2,180,90,20.0,2.0,2,,2,0,,8,0.50,1,2,-1,-0.50,-0.62,Matches
659,Emmanuel Sowah\Emmanuel-Sowah,gh GHA,DF,be Anderlecht,19,1998,0,,,,,0,,0,0,,2,,,,,,,Matches
660,Uroš Spajić\Uros-Spajic,rs SRB,DF,be Anderlecht,24,1993,5,359,72,66.5,4.0,5,,3,0,,0,0.60,2,7,-5,-1.25,+3.72,Matches
661,Darijo Srna\Darijo-Srna,hr CRO,DF,ua Shakhtar,35,1982,1,90,90,12.5,1.0,1,,1,0,,0,3.00,2,1,+1,+1.00,+1.14,Matches
662,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,nl Feyenoord,20,1996,5,374,75,69.3,4.2,4,,4,1,,1,0.60,4,12,-8,-1.93,-1.38,Matches
663,Nicolae Stanciu\Nicolae-Stanciu,ro ROU,MF,be Anderlecht,24,1993,3,103,34,19.1,1.1,1,,0,2,,1,0.00,0,2,-2,-1.75,+0.93,Matches
664,Tom Starke\Tom-Starke,de GER,GK,de Bayern Munich,36,1981,0,,,,,0,,0,0,,10,,,,,,,Matches
665,Renato Steffen\Renato-Steffen,ch SUI,FW,ch Basel,25,1991,6,537,90,74.6,6.0,6,,4,0,,0,2.00,10,5,+5,+0.84,+1.82,Matches
666,Taras Stepanenko\Taras-Stepanenko,ua UKR,MF,ua Shakhtar,27,1989,8,684,86,95.0,7.6,8,,6,0,,0,1.88,11,9,+2,+0.26,+5.26,Matches
667,Dujon Sterling\Dujon-Sterling,eng ENG,DF,eng Chelsea,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
668,Kazaiah Sterling\Kazaiah-Sterling,eng ENG,FW,eng Tottenham,18,1998,1,2,2,0.3,0.0,0,,0,1,,0,3.00,0,0,0,0.00,-1.25,Matches
669,Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,eng Manchester City,22,1994,8,495,62,55.0,5.5,5,,2,3,,1,2.25,14,4,+10,+1.82,+2.26,Matches
670,Valentin Stocker\Valentin-Stocker,ch SUI,MF,ch Basel,28,1989,2,93,47,12.9,1.0,1,,0,1,,0,1.50,1,4,-3,-2.90,-3.76,Matches
671,John Stones\John-Stones,eng ENG,DF,eng Manchester City,23,1994,5,450,90,50.0,5.0,5,,5,0,,2,2.40,13,5,+8,+1.60,+1.60,Matches
672,Kevin Strootman\Kevin-Strootman,nl NED,MF,it Roma,27,1990,11,839,76,77.7,9.3,9,,8,2,,0,1.55,15,16,-1,-0.11,-1.23,Matches
673,Stefano Sturaro\Stefano-Sturaro,it ITA,DF,it Juventus,24,1993,5,235,47,26.1,2.6,2,,0,3,,1,2.00,4,4,0,0.00,-0.27,Matches
674,Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,eng Liverpool,27,1989,5,83,17,7.1,0.9,0,,0,5,,1,2.20,5,0,+5,+5.42,+3.77,Matches
675,Denis Suárez\Denis-Suarez,es ESP,MF,es Barcelona,23,1994,3,170,57,18.9,1.9,2,,1,1,,6,2.33,3,0,+3,+1.59,+0.60,Matches
676,Luis Suárez\Luis-Suarez,uy URU,FW,es Barcelona,30,1987,10,884,88,98.2,9.8,10,,8,0,,0,2.10,16,6,+10,+1.02,-4.61,Matches
677,Danijel Subašić\Danijel-Subasic,hr CRO,GK,fr Monaco,32,1984,3,270,90,50.0,3.0,3,,3,0,,0,0.33,3,7,-4,-1.33,+0.67,Matches
678,Neven Subotić\Neven-Subotic,rs SRB,DF,de Dortmund,28,1988,1,90,90,16.7,1.0,1,,1,0,,1,0.00,2,3,-1,-1.00,0.00,Matches
679,Marek Suchý\Marek-Suchy,cz CZE,DF,ch Basel,29,1988,8,720,90,100.0,8.0,8,,8,0,,0,1.88,13,10,+3,+0.37,,Matches
680,Niklas Süle\Niklas-Sule,de GER,DF,de Bayern Munich,21,1995,9,643,71,59.5,7.1,6,,6,3,,3,1.89,13,11,+2,+0.28,-2.19,Matches
681,Marko Šuler\Marko-Suler,si SVN,DF,si NK Maribor,34,1983,5,450,90,83.3,5.0,5,,5,0,,0,1.45,3,13,-10,-2.00,+1.00,Matches
682,Mile Svilar\Mile-Svilar,be BEL,GK,pt Benfica,17,1999,3,270,90,50.0,3.0,3,,3,0,,0,0.00,0,5,-5,-1.67,+1.00,Matches
683,Seydou Sy\Seydou-Sy,sn SEN,GK,fr Monaco,21,1995,0,,,,,0,,0,0,,3,,,,,,,Matches
684,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,it Juventus,27,1990,2,90,45,10.0,1.0,1,,1,1,,8,3.00,2,1,+1,+1.00,+0.89,Matches
685,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,gr GRE,MF,gr Olympiacos,26,1991,3,245,82,45.4,2.7,3,,2,0,,2,0.33,0,4,-4,-1.47,+0.06,Matches
686,Taison\Taison,br BRA,MF,ua Shakhtar,29,1988,8,720,90,100.0,8.0,8,,8,0,,0,1.88,11,11,0,0.00,,Matches
687,Talisca\Talisca,br BRA,MF,tr Beşiktaş,23,1994,8,539,67,74.9,6.0,6,,3,2,,0,1.75,10,10,0,0.00,+0.50,Matches
688,Renato Tapia\Renato-Tapia,pe PER,DF,nl Feyenoord,22,1995,4,330,83,61.1,3.7,4,,2,0,,1,0.75,3,8,-5,-1.36,+0.35,Matches
689,Serdar Tasci\Serdar-Tasci,de GER,DF,ru Spartak Moscow,30,1987,5,450,90,83.3,5.0,5,,5,0,,0,1.00,8,12,-4,-0.80,-0.80,Matches
690,Marcos Tavares\Marcos-Tavares,br BRA,FWMF,si NK Maribor,33,1984,6,479,80,88.7,5.3,5,,4,1,,0,1.33,3,15,-12,-2.25,-0.78,Matches
691,Alex Telles\Alex-Telles,br BRA,DF,pt Porto,24,1992,7,630,90,87.5,7.0,7,,7,0,,0,1.43,15,15,0,0.00,0.00,Matches
692,Łukasz Teodorczyk\Lukasz-Teodorczyk,pl POL,FW,be Anderlecht,26,1991,6,388,65,71.9,4.3,4,,2,2,,0,0.50,1,13,-12,-2.78,-1.01,Matches
693,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,es Barcelona,25,1992,9,810,90,90.0,9.0,9,,9,0,,1,2.00,15,6,+9,+1.00,-1.00,Matches
694,Youri Tielemans\Youri-Tielemans,be BEL,MF,fr Monaco,20,1997,4,311,78,57.6,3.5,4,,2,0,,1,0.50,4,8,-4,-1.16,+1.20,Matches
695,Kieran Tierney\Kieran-Tierney,sco SCO,DF,sco Celtic,20,1997,6,540,90,100.0,6.0,6,,6,0,,0,1.33,5,18,-13,-2.17,,Matches
696,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,de Bayern Munich,22,1994,8,495,62,45.8,5.5,6,,3,2,,2,2.00,13,7,+6,+1.09,-0.14,Matches
697,Jeremy Toljan\Jeremy-Toljan,de GER,DF,de Dortmund,22,1994,4,271,68,50.2,3.0,3,,2,1,,0,0.25,4,8,-4,-1.33,-0.66,Matches
698,Jens Toornstra\Jens-Toornstra,nl NED,MF,nl Feyenoord,28,1989,5,322,64,59.6,3.6,3,,2,2,,1,0.60,2,5,-3,-0.84,+1.64,Matches
699,Ömer Toprak\Omer-Toprak,tr TUR,DF,de Dortmund,28,1989,6,338,56,62.6,3.8,4,,1,2,,0,0.33,3,8,-5,-1.33,-0.89,Matches
700,Fernando Torres\Fernando-Torres,es ESP,FW,es Atlético Madrid,33,1984,5,207,41,38.3,2.3,2,,1,3,,1,1.20,3,1,+2,+0.87,+1.14,Matches
701,Óliver Torres\Oliver-Torres,es ESP,MF,pt Porto,22,1994,3,168,56,23.3,1.9,2,,1,1,,5,0.33,1,2,-1,-0.54,-0.70,Matches
702,Duško Tošić\Dusko-Tosic,rs SRB,DF,tr Beşiktaş,32,1985,7,508,73,70.6,5.6,6,,4,1,,0,2.00,11,8,+3,+0.53,+2.23,Matches
703,Cenk Tosun\Cenk-Tosun,tr TUR,FW,tr Beşiktaş,26,1991,6,449,75,62.4,5.0,5,,3,1,,0,2.33,10,5,+5,+1.00,+2.99,Matches
704,Almamy Touré\Almamy-Toure,ml MLI,DF,fr Monaco,21,1996,3,270,90,50.0,3.0,3,,3,0,,2,0.33,4,8,-4,-1.33,+0.67,Matches
705,Yaya Touré\Yaya-Toure,ci CIV,MF,eng Manchester City,34,1983,3,255,85,28.3,2.8,3,,2,0,,3,1.00,2,4,-2,-0.71,-2.10,Matches
706,Kevin Trapp\Kevin-Trapp,de GER,GK,fr Paris S-G,27,1990,0,,,,,0,,0,0,,8,,,,,,,Matches
707,Adrien Trebel\Adrien-Trebel,fr FRA,MF,be Anderlecht,26,1991,6,540,90,100.0,6.0,6,,6,0,,0,0.50,2,17,-15,-2.50,,Matches
708,Kieran Trippier\Kieran-Trippier,eng ENG,DFMF,eng Tottenham,26,1990,3,270,90,37.5,3.0,3,,3,0,,4,2.00,7,3,+4,+1.33,+0.13,Matches
709,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,eng Manchester Utd,19,1997,1,18,18,2.5,0.2,0,,0,1,,1,3.00,0,0,0,0.00,-1.03,Matches
710,Sven Ulreich\Sven-Ulreich,de GER,GK,de Bayern Munich,28,1988,11,990,90,91.7,11.0,11,,11,0,,1,2.09,23,12,+11,+1.00,-2.00,Matches
711,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,es Barcelona,23,1993,9,810,90,90.0,9.0,9,,9,0,,0,2.00,15,6,+9,+1.00,-1.00,Matches
712,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,it Roma,20,1997,5,237,47,21.9,2.6,3,,0,2,,4,1.80,5,4,+1,+0.38,+0.27,Matches
713,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,de RB Leipzig,18,1998,5,450,90,83.3,5.0,5,,5,0,,0,1.40,9,9,0,0.00,+1.00,Matches
714,Necip Uysal\Necip-Uysal,tr TUR,DF,tr Beşiktaş,26,1991,4,174,44,24.2,1.9,2,,1,2,,1,2.25,2,3,-1,-0.52,-0.52,Matches
715,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,ch Basel,28,1989,8,720,90,100.0,8.0,8,,8,0,,0,1.88,13,10,+3,+0.37,,Matches
716,Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,eng Manchester Utd,31,1985,4,329,82,45.7,3.7,4,,2,0,,1,1.75,3,2,+1,+0.27,-1.34,Matches
717,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,es Real Madrid,20,1997,1,90,90,7.7,1.0,1,,1,0,,4,0.00,1,3,-2,-2.00,-3.58,Matches
718,Raphaël Varane\Raphael-Varane,fr FRA,DF,es Real Madrid,24,1993,11,938,85,80.2,10.4,11,,10,0,,1,2.36,28,11,+17,+1.63,+1.63,Matches
719,Bruno Varela\Bruno-Varela,pt POR,GK,pt Benfica,22,1994,2,180,90,33.3,2.0,2,,2,0,,2,0.00,1,4,-3,-1.50,+1.00,Matches
720,Viktor Vasin\Viktor-Vasin,ru RUS,DF,ru CSKA Moscow,28,1988,6,540,90,100.0,6.0,6,,6,0,,0,2.10,8,10,-2,-0.33,,Matches
721,Franco Vázquez\Franco-Vazquez,ar ARG,MF,es Sevilla,28,1989,7,494,71,54.9,5.5,5,,2,2,,3,1.29,8,5,+3,+0.55,+1.21,Matches
722,Lucas Vázquez\Lucas-Vazquez,es ESP,MFFW,es Real Madrid,26,1991,10,543,54,46.4,6.0,5,,5,5,,3,2.30,20,7,+13,+2.15,+1.58,Matches
723,Dylan Vente\Dylan-Vente,nl NED,FW,nl Feyenoord,18,1999,1,18,18,3.3,0.2,0,,0,1,,1,0.00,0,0,0,0.00,+1.55,Matches
724,Thomas Vermaelen\Thomas-Vermaelen,be BEL,DF,es Barcelona,31,1985,1,90,90,10.0,1.0,1,,1,0,,6,3.00,2,0,+2,+2.00,+1.00,Matches
725,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,nl Feyenoord,31,1986,1,90,90,16.7,1.0,1,,1,0,,2,3.00,2,1,+1,+1.00,+3.00,Matches
726,Marco Verratti\Marco-Verratti,it ITA,MF,fr Paris S-G,24,1992,8,640,80,88.9,7.1,8,,3,0,,0,1.88,21,8,+13,+1.83,-3.80,Matches
727,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,eng Tottenham,30,1987,6,540,90,75.0,6.0,6,,5,0,,1,1.83,12,8,+4,+0.67,-2.33,Matches
728,Domagoj Vida\Domagoj-Vida,hr CRO,DF,tr Beşiktaş,28,1989,1,16,16,2.2,0.2,1,,0,0,,0,0.00,0,0,0,0.00,+0.13,Matches
729,Aleix Vidal\Aleix-Vidal,es ESP,FW,es Barcelona,27,1989,4,112,28,12.4,1.2,1,,0,3,,1,2.50,2,0,+2,+1.61,+0.58,Matches
730,Arturo Vidal\Arturo-Vidal,cl CHI,MF,de Bayern Munich,30,1987,8,475,59,44.0,5.3,6,,2,2,,0,2.63,10,6,+4,+0.76,-0.73,Matches
731,Luciano Vietto\Luciano-Vietto,ar ARG,FW,es Atlético Madrid,23,1993,2,69,35,12.8,0.8,1,,0,1,,3,1.00,0,0,0,0.00,-0.19,Matches
732,Mitja Viler\Mitja-Viler,si SVN,DF,si NK Maribor,30,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.33,3,16,-13,-2.17,,Matches
733,Tonny Vilhena\Tonny-Vilhena,nl NED,MF,nl Feyenoord,22,1995,6,533,89,98.7,5.9,6,,5,0,,0,0.50,4,14,-10,-1.69,-14.55,Matches
734,Vinicius\Vinicius,br BRA,MF,cy APOEL FC,31,1986,6,465,78,86.1,5.2,6,,4,0,,0,1.25,2,16,-14,-2.71,-1.51,Matches
735,Vitinho\Vitinho,br BRA,FW,ru CSKA Moscow,23,1993,6,469,78,86.9,5.2,6,,2,0,,0,2.10,5,10,-5,-0.96,-4.76,Matches
736,Michel Vorm\Michel-Vorm,nl NED,GK,eng Tottenham,33,1983,1,90,90,12.5,1.0,1,,1,0,,6,3.00,3,0,+3,+3.00,+2.00,Matches
737,Praxitelis Vouros\Praxitelis-Vouros,gr GRE,DF,cy APOEL FC,22,1995,6,540,90,100.0,6.0,6,,6,0,,0,0.33,2,17,-15,-2.50,,Matches
738,Blaž Vrhovec\Blaz-Vrhovec,si SVN,MF,si NK Maribor,25,1992,5,395,79,73.1,4.4,5,,3,0,,1,1.50,1,12,-11,-2.51,-1.26,Matches
739,Dorus de Vries\Dorus-de-Vries,nl NED,GK,sco Celtic,36,1980,0,,,,,0,,0,0,,6,,,,,,,Matches
740,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,es Atlético Madrid,25,1992,1,90,90,16.7,1.0,1,,1,0,,2,1.00,0,0,0,0.00,-0.20,Matches
741,Dare Vršič\Dare-Vrsic,si SVN,MF,si NK Maribor,32,1984,2,55,28,10.2,0.6,0,,0,2,,2,1.00,1,1,0,0.00,+2.41,Matches
742,Jagoš Vuković\Jagos-Vukovic,rs SRB,DF,gr Olympiacos,29,1988,0,,,,,0,,0,0,,3,,,,,,,Matches
743,Sandro Wagner\Sandro-Wagner,de GER,FW,de Bayern Munich,29,1987,3,51,17,4.7,0.6,0,,0,3,,3,1.67,1,0,+1,+1.76,+0.63,Matches
744,Kyle Walker\Kyle-Walker,eng ENG,DF,eng Manchester City,27,1990,7,630,90,70.0,7.0,7,,7,0,,3,2.14,14,6,+8,+1.14,+1.14,Matches
745,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,eng Tottenham,20,1997,1,20,20,2.8,0.2,0,,0,1,,3,3.00,1,0,+1,+4.50,+3.34,Matches
746,Victor Wanyama\Victor-Wanyama,ke KEN,MF,eng Tottenham,26,1991,1,1,1,0.1,0.0,0,,0,1,,1,1.00,0,0,0,0.00,-1.25,Matches
747,Boy Waterman\Boy-Waterman,nl NED,GK,cy APOEL FC,33,1984,3,225,75,41.7,2.5,3,,2,0,,0,1.56,0,6,-6,-2.40,+0.17,Matches
748,Roman Weidenfeller\Roman-Weidenfeller,de GER,GK,de Dortmund,36,1980,0,,,,,0,,0,0,,5,,,,,,,Matches
749,Julian Weigl\Julian-Weigl,de GER,MF,de Dortmund,21,1995,5,325,65,60.2,3.6,3,,3,2,,0,0.40,3,6,-3,-0.83,+0.43,Matches
750,Pontus Wernbloom\Pontus-Wernbloom,se SWE,MFFW,ru CSKA Moscow,31,1986,5,450,90,83.3,5.0,5,,5,0,,0,2.33,7,8,-1,-0.20,+0.80,Matches
751,Timo Werner\Timo-Werner,de GER,FW,de RB Leipzig,21,1996,6,329,55,60.9,3.7,4,,2,2,,0,1.17,7,7,0,0.00,+0.43,Matches
752,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,eng Liverpool,26,1990,12,850,71,72.6,9.4,9,,7,3,,0,2.14,32,15,+17,+1.80,-0.45,Matches
753,Willian\Willian,br BRA,MFFW,eng Chelsea,28,1988,8,429,54,59.6,4.8,4,,4,4,,0,1.50,13,5,+8,+1.68,+2.61,Matches
754,Harry Winks\Harry-Winks,eng ENG,MF,eng Tottenham,21,1996,5,426,85,59.2,4.7,5,,4,0,,1,2.60,12,2,+10,+2.11,+2.11,Matches
755,Manuel Wintzheimer\Manuel-Wintzheimer,de GER,FW,de Bayern Munich,18,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
756,Ricky van Wolfswinkel\Ricky-van-Wolfswinkel,nl NED,FW,ch Basel,28,1989,3,172,57,23.9,1.9,2,,1,1,,1,2.00,5,2,+3,+1.57,+1.57,Matches
757,Ben Woodburn\Ben-Woodburn,wal WAL,FWMF,eng Liverpool,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
758,Taulant Xhaka\Taulant-Xhaka,al ALB,MFDF,ch Basel,26,1991,6,523,87,72.6,5.8,6,,5,0,,0,1.50,10,8,+2,+0.34,-0.11,Matches
759,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,de Dortmund,27,1989,6,377,63,69.8,4.2,4,,3,2,,0,0.33,4,9,-5,-1.19,-0.64,Matches
760,Andrey Yeshchenko\Andrey-Yeshchenko,ru RUS,DFMF,ru Spartak Moscow,33,1984,5,440,88,81.5,4.9,5,,4,0,,0,1.00,8,12,-4,-0.82,-0.82,Matches
761,Ashley Young\Ashley-Young,eng ENG,DFMF,eng Manchester Utd,32,1985,4,337,84,46.8,3.7,4,,3,0,,3,1.75,8,2,+6,+1.60,+1.13,Matches
762,Elvin Yunuszade\Elvin-Yunuszade,az AZE,DF,az Qarabağ FK,24,1992,3,126,42,23.3,1.4,1,,1,2,,1,0.40,0,2,-2,-1.43,+0.75,Matches
763,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,de Dortmund,18,1999,2,88,44,16.3,1.0,1,,0,1,,3,0.00,1,2,-1,-1.02,-0.03,Matches
764,Ghayas Zahid\Ghayas-Zahid,no NOR,MF,cy APOEL FC,22,1994,6,467,78,86.5,5.2,5,,5,1,,0,0.33,2,14,-12,-2.31,+1.39,Matches
765,Davide Zappacosta\Davide-Zappacosta,it ITA,MF,eng Chelsea,25,1992,5,353,71,49.0,3.9,4,,2,1,,3,1.60,13,4,+9,+2.29,+3.28,Matches
766,Saša Zdjelar\Sasa-Zdjelar,rs SRB,MF,gr Olympiacos,22,1995,3,211,70,39.1,2.3,2,,1,1,,0,0.80,3,4,-1,-0.43,+1.76,Matches
767,Tolga Zengin\Tolga-Zengin,tr TUR,GK,tr Beşiktaş,33,1983,2,180,90,25.0,2.0,2,,2,0,,6,1.50,3,4,-1,-0.50,-0.50,Matches
768,Timur Zhamaletdinov\Timur-Zhamaletdinov,ru RUS,FW,ru CSKA Moscow,20,1997,5,131,26,24.3,1.5,1,,0,4,,1,1.50,2,1,+1,+0.69,+1.35,Matches
769,Piotr Zieliński\Piotr-Zielinski,pl POL,MFFW,it Napoli,23,1994,5,353,71,65.4,3.9,4,,2,1,,1,1.71,5,7,-2,-0.51,-1.47,Matches
770,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,eng Manchester City,20,1996,1,90,90,10.0,1.0,1,,1,0,,2,0.00,1,2,-1,-1.00,-2.00,Matches
771,Andrija Živković\Andrija-Zivkovic,rs SRB,MFFW,pt Benfica,21,1996,5,292,58,54.1,3.2,3,,2,2,,1,0.00,1,9,-8,-2.47,-0.65,Matches
772,Roman Zobnin\Roman-Zobnin,ru RUS,MF,ru Spartak Moscow,23,1994,2,107,54,19.8,1.2,1,,1,1,,0,0.50,1,8,-7,-5.89,-6.51,Matches
773,Oleksandr Zubkov\Oleksandr-Zubkov,ua UKR,FWMF,ua Shakhtar,20,1996,1,1,1,0.1,0.0,0,,0,1,,2,3.00,0,0,0,0.00,0.00,Matches
774,Luca Zuffi\Luca-Zuffi,ch SUI,MF,ch Basel,27,1990,7,630,90,87.5,7.0,7,,7,0,,1,2.14,13,6,+7,+1.00,+5.00,Matches
775,Uroš Đurđević\Uros-Djurdjevic,me MNE,FW,gr Olympiacos,23,1994,5,207,41,38.3,2.3,2,,0,3,,0,0.20,2,7,-5,-2.17,-1.09,Matches
776,Bruno Costa\Bruno-Costa,,,pt Porto,,,1,90,90,12.5,1.0,1,,,0,,0,,,,,,,Matches
